Potential vs. Li,I,Current density
3.9341471195221,0.119290712149439,0.089873166880642
3.93613171577454,0.121609013152234,0.0916197660009721
3.93817472457886,0.122532647787402,0.0923156288071158
3.94018244743347,0.124015973359543,0.0934331606273329
3.94212937355042,0.125728636069758,0.0947234741713797
3.94410991668701,0.126291641028994,0.0951476399571674
3.94613575935364,0.127364088527743,0.0959556178063151
3.94814944267273,0.127801049483452,0.0962848225212937
3.95014142990112,0.127950800049712,0.0963976440259143
3.95212960243225,0.128892425699451,0.0971070611937158
3.95413088798523,0.128601103048771,0.0968875798214538
3.95610618591309,0.128718462426838,0.0969759979286138
3.95810866355896,0.129159345944191,0.0973081578865522
3.96011447906494,0.129171648918849,0.097317426900666
3.9621045589447,0.130327935698621,0.0981885689438969
3.96411752700806,0.1305509846357,0.0983566131611159
3.96615219116211,0.130773326248966,0.098524124483276
3.96816873550415,0.13215446963868,0.0995646726375561
3.97013306617737,0.132300539655224,0.0996747212300791
3.97214555740356,0.13351919598826,0.100592852256507
3.97421002388001,0.13305725478538,0.100244827518727
3.97612261772156,0.134303550501059,0.101183781950464
3.97821617126465,0.137144802110634,0.103324370060436
3.9801607131958,0.138865670014321,0.104620865365904
3.9821343421936,0.140915346763666,0.106165083999744
3.98412036895752,0.144205451359832,0.108643836235338
3.9860999584198,0.146370732804595,0.110275151005133
3.98815488815308,0.149433454481663,0.112582593818009
3.99011898040772,0.152697544236364,0.115041746571412
3.99211716651917,0.155743378907093,0.117336466778215
3.99414801597595,0.159701382889053,0.120318411859902
3.99612474441528,0.163851631906116,0.12344519361672
3.99813485145569,0.168384755758395,0.126860431811929
4.00012636184692,0.174002769153083,0.131093021644455
4.00218915939331,0.178964703617544,0.134831324116962
4.00413656234741,0.185176105386844,0.139510970484364
4.00615787506104,0.191003609386405,0.143901389738414
4.00807952880859,0.19756829351683,0.148847197687261
4.01014614105225,0.205658087889267,0.154942017867003
4.01213550567627,0.213064164676557,0.160521727829679
4.01414585113525,0.2210748139474,0.166556920392188
4.01613330841065,0.229676487342881,0.173037388272675
4.01817464828491,0.236979297628102,0.178539297647138
4.02015972137451,0.24502564093424,0.184601381959499
4.02216911315918,0.251771988477311,0.189684054429537
4.02412986755371,0.256344785157634,0.193129181981857
4.02613830566406,0.260508718059126,0.196266273124936
4.02812957763672,0.261075997808243,0.196693659521092
4.03015470504761,0.258814541693516,0.194989887122303
4.03218030929566,0.252858788837496,0.190502845669667
4.03420686721802,0.243666078662329,0.183577092936939
4.03617763519287,0.231614581064551,0.174497540679677
4.03814220428467,0.216996451666677,0.163484297827944
4.04017210006714,0.195649146648595,0.147401319767266
4.0421667098999,0.180618245621873,0.136077096347016
4.04413557052612,0.165195195397158,0.124457429218884
4.04618501663208,0.150309145148492,0.113242335821537
4.04815244674683,0.137851828723375,0.103857041209858
4.05011701583862,0.126546682524159,0.095339787245447
4.0522141456604,0.118414357354431,0.0892129245254808
4.05417442321777,0.112144387950791,0.0844891535260761
4.05618858337402,0.105966590638301,0.0798348246280756
4.05812168121338,0.101250261019859,0.076281559908427
4.06013584136963,0.097977524063287,0.0738158923861645
4.06212091445923,0.094414703092557,0.0711316766756644
4.06416463851929,0.091766521919077,0.0691365470947781
4.06613159179688,0.088204706938728,0.0664530892935885
4.06812572479248,0.085377113931404,0.0643227915223804
4.07016229629517,0.083229661230798,0.0627049088603332
4.07213497161865,0.080521500421396,0.0606645908508464
4.07415819168091,0.078624317895927,0.0592352607827946
4.07612276077271,0.076598910426885,0.0577093265320335
4.07812166213989,0.074514380810134,0.0561388498810163
4.08012676239014,0.073070493877075,0.0550510309808405
4.08217144012451,0.070968559715645,0.053467441812342
4.08409786224365,0.069465300683173,0.0523348921992511
4.08611536026001,0.068756692348413,0.0518010293865024
4.08807992935181,0.067243492119864,0.0506609901142593
4.09017133712769,0.066763122498399,0.0502990814763074
4.09213447570801,0.065724642177741,0.0495166943693896
4.09411573410034,0.064593285569672,0.0486643346222944
4.09616899490356,0.064529040256248,0.0486159324485575
4.09817028045654,0.063386237647451,0.0477549493282339
4.10007286071777,0.062976645116897,0.0474463638802283
4.10206079483032,0.062991611635939,0.0474576395985072
4.1040997505188,0.062350397635747,0.046974551419997
4.10608673095703,0.061601206019254,0.0464101133178059
4.10808563232422,0.061967788760329,0.0466862953547018
4.11009073257446,0.062279806592869,0.0469213683979281
4.11215591430664,0.06311904066681,0.0475536441436269
4.11407041549683,0.063297843422894,0.0476883534570906
4.11609792709351,0.063861201814729,0.0481127855176485
4.11809682846069,0.064584443714475,0.0486576732023621
4.12009191513062,0.065095180441818,0.0490424603018897
4.12209892272949,0.066317341908737,0.0499632320827967
4.12410116195679,0.067075691828754,0.050534570015881
4.12610387802124,0.067948095923329,0.0511918359284264
4.1281213760376,0.069645154037119,0.0524703930291312
4.13015508651733,0.070668241457792,0.0532411831839962
4.13214445114136,0.072150683047532,0.0543580490152489
4.13409852981567,0.07334789154939,0.0552600213275914
4.13612937927246,0.07483354123537,0.0563793041262974
4.13816976547241,0.076807721491399,0.0578666439904462
4.14008522033691,0.078459092123694,0.0591107803171043
4.14213562011719,0.08013142322758,0.0603707081829968
4.14417457580566,0.08201737281961,0.061791575401902
4.14607286453247,0.083663361411268,0.0630316569197019
4.14818716049194,0.085857517481397,0.0646847257219557
4.15012311935425,0.087662530181287,0.0660446153954759
4.15216779708862,0.088311545202743,0.066533580833609
4.15416193008423,0.090259735800799,0.0680013401887132
4.1561450958252,0.092624149692776,0.0697826805836164
4.15815353393555,0.09497928442001,0.0715570300912456
4.16015911102295,0.097494068516046,0.0734516588235202
4.16214036941528,0.100440589912234,0.0756715567886296
4.16414451599121,0.103907393985682,0.0782834337354716
4.16617298126221,0.108161114871104,0.0814881708026817
4.16809749603272,0.11289806402115,0.0850569701986806
4.17017555236816,0.119075319129,0.0897108906017764
4.17216730117798,0.125941863784126,0.0948841191169222
4.17411088943481,0.134369250422615,0.101233280020411
4.17614889144898,0.144528746150273,0.108887405295572
4.17812204360962,0.156125531930131,0.117624379406068
4.18014907836914,0.169787957679147,0.127917598779237
4.18214988708496,0.185185340272682,0.13951792801208
4.18410444259644,0.201992230993728,0.152180175284316
4.18610572814941,0.220416470140913,0.166060926683046
4.18811893463135,0.239913742769453,0.180750097407981
4.1901159286499,0.259927696786574,0.195828533917513
4.19215965270996,0.279203737286967,0.210351029202138
4.19408702850342,0.295804388010445,0.222857896047978
4.19564342498779,0.309422763750175,0.233117928312407
4.19762516021729,0.319033768598262,0.240358822653961
4.19955587387085,0.321911218044121,0.242526682075526
4.20159530639649,0.325103652669421,0.244931850128137
4.20359230041504,0.32511722482311,0.244942075336885
4.20557022094727,0.322854759072564,0.243237542282327
4.20762300491333,0.318772057567197,0.24016165056281
4.20959234237671,0.313111770195162,0.235897211677224
4.21159076690674,0.306487733997161,0.230906688107371
4.21359634399414,0.299255740659956,0.225458131951045
4.21561002731323,0.291594547490273,0.219686218280338
4.2176251411438,0.283913199245726,0.213899119853214
4.21961450576782,0.275971180443608,0.207915633223695
4.2215633392334,0.268136183699833,0.202012776604142
4.22358798980713,0.260585147923861,0.19632385509309
4.22557735443115,0.253208470968839,0.190766294851746
4.22756576538086,0.246264278014761,0.185534566404762
4.22959327697754,0.239618966023998,0.180528013733909
4.23156929016113,0.233327356091296,0.175787938842569
4.23360252380371,0.227416556333187,0.171334764882193
4.2355809211731,0.2217765840621,0.167085631316064
4.23754167556763,0.216481055922969,0.163096000643283
4.23960161209106,0.211577210816699,0.159401462471355
4.24158763885498,0.206850559379681,0.155840421333017
4.24357509613037,0.202389732926505,0.152479651722139
4.24556922912598,0.198119851451994,0.149262739328837
4.24756669998169,0.193968101131831,0.146134826495998
4.24957990646362,0.189590724501528,0.14283692766292
4.25162315368652,0.185731203843719,0.139929179541474
4.25362491607666,0.18201118172558,0.137126529086974
4.25561141967774,0.178335322659422,0.134357150907148
4.25759553909302,0.174609651447289,0.131550244446812
4.25958108901978,0.170897412464949,0.128753457777094
4.26156902313233,0.167079401497071,0.125876982897488
4.26356315612793,0.163214927534226,0.122965502974947
4.26553678512573,0.159361959945071,0.120062691910394
4.26754093170166,0.155437919603888,0.117106334905938
4.26955556869507,0.151447392087086,0.114099886717331
4.27156209945679,0.14740402349082,0.111053628261292
4.27359628677368,0.143266468530905,0.107936410158641
4.27561235427856,0.139152808879279,0.104837194689984
4.27758646011353,0.135000277761024,0.101708693606844
4.27953672409058,0.130827159822609,0.0985646824920314
4.28159379959106,0.126647275920597,0.0954155739260884
4.28361701965332,0.122460549310998,0.0922613100903864
4.2855715751648,0.118345413023174,0.0891609821296573
4.2875828742981,0.114290643109435,0.0861061339645834
4.28960466384888,0.110310583357044,0.0831075721497
4.291588306427,0.106443061313079,0.0801937958144862
4.29356193542481,0.102614266542712,0.0773091964592753
4.2956395149231,0.099066361404886,0.0746362182803113
4.29760360717774,0.095660092610522,0.0720699483815056
4.29957580566406,0.092371587548255,0.0695924012286417
4.30160474777222,0.089190386556055,0.0671956965522986
4.3035798072815,0.086165708972818,0.0649169160143984
4.30555534362793,0.083271870089104,0.0627367088529564
4.30757570266724,0.080540909862618,0.0606792138497252
4.30962896347046,0.077942581263281,0.0587216430077771
4.31160831451416,0.075484943505071,0.0568700681081397
4.31356000900269,0.073187509642463,0.0551391902115207
4.31557655334473,0.071025061648449,0.0535100101526971
4.3175745010376,0.068999244646319,0.0519837673612718
4.31959342956543,0.067110965163187,0.0505611448113098
4.32158088684082,0.065315617959857,0.0492085370859788
4.32355546951294,0.063643113916862,0.0479484789284222
4.3256106376648,0.062086650462201,0.0467758453068781
4.32756567001343,0.060601914213461,0.0456572506882997
