time/s	Ewe/V	<I>/mA	
1.735012082408648E+003	2.3904886E+000	-1.099154497048334E+001
1.750012083121110E+003	2.3897798E+000	-1.099139968520175E+001
1.765012083833572E+003	2.3890319E+000	-1.099121053230241E+001
1.780012084546033E+003	2.3883231E+000	-1.099129039641910E+001
1.795012085258495E+003	2.3875356E+000	-1.099146011470836E+001
1.810012085970957E+003	2.3867481E+000	-1.099148822839009E+001
1.825012086683419E+003	2.3859212E+000	-1.099132270982800E+001
1.840012087395880E+003	2.3852124E+000	-1.099121000256814E+001
1.855012088108342E+003	2.3844249E+000	-1.099116902191314E+001
1.870012088820804E+003	2.3838344E+000	-1.099131009996532E+001
1.885012089533266E+003	2.3830469E+000	-1.099114327436086E+001
1.900012090245727E+003	2.3824956E+000	-1.099120396517422E+001
1.915012090958189E+003	2.3817475E+000	-1.099121999465852E+001
1.930012091670651E+003	2.3809600E+000	-1.099120737818370E+001
1.945012092383113E+003	2.3804088E+000	-1.099125808453607E+001
1.960012093095575E+003	2.3793061E+000	-1.099105500405052E+001
1.975012093808036E+003	2.3785975E+000	-1.099111490051679E+001
1.990012094520498E+003	2.3777707E+000	-1.099117637334305E+001
2.005012095232960E+003	2.3770618E+000	-1.099101296964903E+001
2.020012095945422E+003	2.3762350E+000	-1.099114958221680E+001
2.035012096657883E+003	2.3755655E+000	-1.099103057562048E+001
2.050012097370345E+003	2.3748174E+000	-1.099108547076456E+001
2.065012098082807E+003	2.3740695E+000	-1.099098196162947E+001
2.080012098795269E+003	2.3734000E+000	-1.099091339664554E+001
2.095012099507730E+003	2.3726912E+000	-1.099095543753201E+001
2.110012100220192E+003	2.3718250E+000	-1.099101322942990E+001
2.125012100932654E+003	2.3709981E+000	-1.099115508873204E+001
2.140012101645116E+003	2.3704863E+000	-1.099118320343102E+001
2.155012102357578E+003	2.3696988E+000	-1.099099930553123E+001
2.170012103070039E+003	2.3690293E+000	-1.099101217975242E+001
2.185012103782501E+003	2.3684781E+000	-1.099084561596333E+001
2.200012104494963E+003	2.3676119E+000	-1.099073212071421E+001
2.215012105207425E+003	2.3671000E+000	-1.099079596488334E+001
2.230012105919886E+003	2.3664701E+000	-1.099079570014336E+001
2.245012106632348E+003	2.3658006E+000	-1.099092100963651E+001
2.260012107344810E+003	2.3650918E+000	-1.099077126891588E+001
2.275012108057272E+003	2.3643832E+000	-1.099089369767695E+001
2.290012108769733E+003	2.3639107E+000	-1.099075444851771E+001
2.305012109482195E+003	2.3633201E+000	-1.099083405882989E+001
2.320012110194657E+003	2.3626900E+000	-1.099079491177263E+001
2.335012110907119E+003	2.3619025E+000	-1.099081567160847E+001
2.350012111619581E+003	2.3613119E+000	-1.099091996771558E+001
2.365012112332042E+003	2.3604851E+000	-1.099099378528308E+001
2.380012113044504E+003	2.3599339E+000	-1.099104554156724E+001
2.395012113756966E+003	2.3591070E+000	-1.099108416715541E+001
2.410012114469428E+003	2.3584769E+000	-1.099092679615052E+001
2.425012115181889E+003	2.3579257E+000	-1.099085533568435E+001
2.440012115894351E+003	2.3571775E+000	-1.099094754962854E+001
2.455012116606813E+003	2.3565869E+000	-1.099096015453211E+001
2.470012117319275E+003	2.3559568E+000	-1.099102163676796E+001
2.485012118031736E+003	2.3552876E+000	-1.099094649677214E+001
2.500012118744198E+003	2.3545394E+000	-1.099080805378555E+001
2.515012119456660E+003	2.3538702E+000	-1.099087556642171E+001
2.530012120169122E+003	2.3532007E+000	-1.099090156777851E+001
2.545012120881584E+003	2.3524919E+000	-1.099073685284594E+001
2.560012121594045E+003	2.3517833E+000	-1.099086321812009E+001
2.575012122306507E+003	2.3511531E+000	-1.099083825461521E+001
2.590012123018969E+003	2.3503656E+000	-1.099088108158360E+001
2.605012123731431E+003	2.3495781E+000	-1.099083352617102E+001
2.620012124443892E+003	2.3489089E+000	-1.099088765036482E+001
2.635012125156354E+003	2.3484364E+000	-1.099102504596275E+001
2.650012125868816E+003	2.3476882E+000	-1.099096909414757E+001
2.665012126581278E+003	2.3471763E+000	-1.099086032696117E+001
2.680012127293739E+003	2.3466644E+000	-1.099088265641771E+001
2.695012128006201E+003	2.3459952E+000	-1.099082065449296E+001
2.710012128718663E+003	2.3453650E+000	-1.099086768767351E+001
2.725012129431125E+003	2.3447745E+000	-1.099098249441549E+001
2.740012130143587E+003	2.3441050E+000	-1.099107812009759E+001
2.755012130856048E+003	2.3433964E+000	-1.099098669808452E+001
2.770012131568510E+003	2.3427663E+000	-1.099088370863832E+001
2.785012132280972E+003	2.3421757E+000	-1.099113355260534E+001
2.800012132993434E+003	2.3415458E+000	-1.099105131867166E+001
2.815012133705895E+003	2.3409550E+000	-1.099118268590379E+001
2.830012134418357E+003	2.3402858E+000	-1.099109361870322E+001
2.845012135130819E+003	2.3397739E+000	-1.099103109124037E+001
2.860012135843281E+003	2.3391833E+000	-1.099092022660636E+001
2.875012136555742E+003	2.3386714E+000	-1.099108101519837E+001
2.890012137268204E+003	2.3380020E+000	-1.099104396368137E+001
